controlTandem,manipulatedTandem,controlTandem2wheel,manipulatedTandem2wheel,controlWheel,manipulatedWheel
2.02,12.38,11.05,12.33,8.43,8.45
0.55,1.35,8.31,8.45,7.33,6.02
1.32,3.02,9.31,21.15,4.35,6.3
1.04,16.2,6.4,8.2,6.45,7.07
7.35,1.5,7.2,3.5,8.2,6.42
1.15,3.05,8.21,9.07,6.28,7.5
1.45,1.05,8.01,1.4,3.46,5.15
1.35,1.45,3.32,16.55,7.5,10.2
0.32,1.27,16.49,4.01,11.37,11.15
7.43,1.31,9.58,19.46,12.45,7.55
1.56,1.45,6.33,6.52,5.33,5.11
1.05,8,3.55,20.1,7.27,9.03
0.45,25.5,19.2,4.13,8.04,5.2
0.45,5.5,10.07,5.31,7.13,4.31
10.26,3.36,4.52,9.31,6.13,6.2
1.2,2.44,4.08,2.41,3.5,7
1.38,0.29,6.01,2.1,7.12,2.48
8.49,2.45,14.2,5.14,4.13,5.04
2.52,4.34,4.47,5.45,3.22,6.49
1.54,3.47,5.28,,8.11,
7.1,0.24,2.48,,8.22,
1.4,3.14,7.14,,5.17,
2.35,3.3,6.09,,5.32,
0.49,0.27,,,,
3.37,1.48,,,,
9.53,12.03,,,,
9.5,1.14,,,,
13.2,7.19,,,,
,10.01,,,,
,2.26,,,,
,0.4,,,,
,2.46,,,,
,0.37,,,,
,1.26,,,,
,1.32,,,,
,1.2,,,,
,0.24,,,,
,2.25,,,,
