wl,sample11m,sample12m,sample13m,sample14m,sample15m,sample16m,sample17m,sample18m,sample19m,sample20m,sample21m,sample22m,sample23m,sample24m,sample25m,sample26m,sample27m,sample28m,sample29m,sample30m,sample31p,sample32p,sample33p,sample34p,sample35p,sample36p,sample37p,sample38p,sample39f,sample40f,sample41f,sample42f,sample43f,sample44f,sample45f,sample46f,sample47f ,sample48f,sample49f,sample50f,sample51f,sample52f,sample53t,sample54t,sample55t,sample56t,sample57t,sample58t,sample59t,sample60t,sample61t,sample62t,sample63t,sample64t,sample65t,sample66t,sample67t,sample68t,sample69t,sample70t,sample71t,sample72t,sample73t,sample74t,sample75t,sample76t,sample77t,sample78t,sample79t,sample80t,sample81t,sample82t,sample83t
300.032,1.896666667,2.516666667,3.72,3.246666667,3.666666667,3.166666667,3.206666667,3.616666667,2.326666667,1.9,2.906666667,3.503333333,2.506666667,3.055,2.09,2.995,2.0775,3.9,3.305,2.75,2.5,1.486666667,2.94,2.5975,4.046666667,3.084,2.863333333,2.035,3.12,3.253333333,3.36,3.53,4.376666667,3.37,4.17,3.815,3.7175,4.146666667,4.215,3.25,3.956666667,3.616666667,1.64,2.616666667,3.16,2.556666667,3.586666667,3.946666667,2.213333333,4.463333333,3.283333333,4.636666667,2.746666667,3.223333333,0.52,5.983333333,2.266666667,0.943333333,1.443333333,1.076666667,3.95,3.04,2.91,2.1,3.096666667,3.99,7.42,0.986666667,4.453333333,1.113333333,4.09,3.736666667,1.6
300.403,1.883333333,2.523333333,3.766666667,3.266666667,3.696666667,3.176666667,3.236666667,3.626666667,2.356666667,1.97,2.966666667,3.55,2.556666667,3.085,2.1425,3.045,2.1525,3.95,3.37,2.8,2.475,1.463333333,2.92,2.585,4.026666667,3.05,2.84,2,3.136666667,3.296666667,3.375,3.515,4.376666667,3.34,4.183333333,3.83,3.6875,4.103333333,4.19,3.25,3.95,3.633333333,1.64,2.623333333,3.163333333,2.563333333,3.586666667,3.96,2.226666667,4.456666667,3.29,4.656666667,2.753333333,3.233333333,0.53,6.006666667,2.29,0.946666667,1.49,1.083333333,4.01,3.05,2.933333333,2.146666667,3.13,4.013333333,7.42,0.996666667,4.47,1.146666667,4.11,3.76,1.605
300.774,1.93,2.536666667,3.77,3.306666667,3.72,3.203333333,3.27,3.68,2.403333333,2.036,3.03,3.596666667,2.63,3.15,2.195,3.105,2.225,4.02,3.406666667,2.85,2.5025,1.463333333,2.9175,2.5875,4.013333333,3.066,2.816666667,1.9925,3.16,3.336666667,3.42,3.575,4.41,3.333333333,4.216666667,3.8575,3.7,4.156666667,4.2175,3.325,3.99,3.68,1.63,2.62,3.15,2.553333333,3.573333333,3.976666667,2.226666667,4.483333333,3.29,4.656666667,2.766666667,3.23,0.533333333,6.016666667,2.283333333,0.95,1.476666667,1.073333333,4.02,3.066666667,2.906666667,2.133333333,3.126666667,4.006666667,7.39,1.003333333,4.47,1.146666667,4.12,3.776666667,1.59
301.145,1.96,2.536666667,3.756666667,3.346666667,3.766666667,3.26,3.333333333,3.76,2.5,2.064,3.07,3.616666667,2.656666667,3.19,2.2275,3.12,2.2575,4.06,3.426666667,2.906666667,2.5025,1.456666667,2.91,2.59,4.01,3.048,2.79,1.985,3.22,3.38,3.465,3.64,4.473333333,3.326666667,4.216666667,3.8425,3.6775,4.133333333,4.185,3.385,4.03,3.716666667,1.62,2.593333333,3.146666667,2.536666667,3.546666667,3.976666667,2.206666667,4.493333333,3.256666667,4.633333333,2.756666667,3.22,0.51,6.013333333,2.263333333,0.943333333,1.45,1.023333333,4.016666667,3.033333333,2.873333333,2.073333333,3.073333333,3.983333333,7.363333333,0.956666667,4.443333333,1.11,4.086666667,3.74,1.555
301.516,1.95,2.543333333,3.76,3.373333333,3.78,3.286666667,3.36,3.796666667,2.546666667,2.094,3.053333333,3.656666667,2.7,3.2425,2.2575,3.153333333,2.275,4.0875,3.458333333,2.956666667,2.49,1.466666667,2.8975,2.59,4.013333333,3.052,2.773333333,1.99,3.25,3.406666667,3.495,3.615,4.46,3.35,4.24,3.865,3.7325,4.186666667,4.22,3.39,4.04,3.736666667,1.6,2.583333333,3.146666667,2.543333333,3.556666667,3.966666667,2.22,4.493333333,3.24,4.636666667,2.743333333,3.213333333,0.5,5.99,2.253333333,0.946666667,1.443333333,1.013333333,3.983333333,3.03,2.833333333,2.046666667,3.04,3.963333333,7.33,0.933333333,4.44,1.07,4.066666667,3.733333333,1.55
301.887,1.97,2.57,3.763333333,3.353333333,3.766666667,3.256666667,3.316666667,3.823333333,2.533333333,2.11,3.076666667,3.663333333,2.743333333,3.265,2.265,3.175,2.2875,4.1,3.486666667,2.953333333,2.415,1.376666667,2.835,2.5475,3.98,2.982,2.703333333,1.9375,3.246666667,3.386666667,3.48,3.605,4.426666667,3.343333333,4.253333333,3.8575,3.7325,4.18,4.225,3.385,4.03,3.693333333,1.61,2.58,3.14,2.553333333,3.563333333,3.976666667,2.223333333,4.493333333,3.233333333,4.636666667,2.756666667,3.21,0.483333333,5.986666667,2.266666667,0.943333333,1.466666667,1.013333333,3.96,3,2.803333333,2.036666667,3.01,3.98,7.293333333,0.943333333,4.453333333,1.056666667,4.07,3.723333333,1.55
302.258,1.963333333,2.59,3.733333333,3.306666667,3.726666667,3.2,3.256666667,3.813333333,2.543333333,2.164,3.116666667,3.686666667,2.803333333,3.3425,2.3025,3.218333333,2.315,4.1575,3.525,3.006666667,2.36,1.336666667,2.805,2.52,3.94,2.94,2.66,1.9,3.203333333,3.343333333,3.46,3.58,4.386666667,3.336666667,4.253333333,3.865,3.7225,4.17,4.2325,3.335,3.973333333,3.663333333,1.65,2.596666667,3.163333333,2.603333333,3.586666667,4.013333333,2.28,4.52,3.273333333,4.666666667,2.796666667,3.25,0.51,6.02,2.3,0.986666667,1.513333333,1.086666667,3.996666667,3.04,2.86,2.093333333,3.07,4.053333333,7.326666667,1.01,4.51,1.123333333,4.1,3.76,1.6325
302.629,1.946666667,2.603333333,3.73,3.323333333,3.746666667,3.233333333,3.256666667,3.86,2.566666667,2.186,3.106666667,3.7,2.806666667,3.355,2.3225,3.218333333,2.3125,4.1575,3.535,3.016666667,2.42,1.363333333,2.8375,2.555,4.016666667,2.974,2.716666667,1.935,3.206666667,3.353333333,3.47,3.595,4.406666667,3.3,4.203333333,3.8325,3.7025,4.146666667,4.205,3.32,3.983333333,3.673333333,1.62,2.59,3.136666667,2.586666667,3.566666667,4.023333333,2.28,4.52,3.266666667,4.653333333,2.793333333,3.243333333,0.503333333,6.006666667,2.266666667,0.98,1.51,1.086666667,4.006666667,3.03,2.82,2.076666667,3.063333333,4.053333333,7.313333333,1.02,4.516666667,1.1,4.13,3.756666667,1.5975
303,1.94,2.65,3.8,3.38,3.81,3.24,3.276666667,3.89,2.6,2.21,3.103333333,3.73,2.833333333,3.395,2.3475,3.25,2.3425,4.1675,3.54,3.026666667,2.4175,1.36,2.82,2.545,4.006666667,2.936,2.693333333,1.915,3.213333333,3.37,3.535,3.615,4.426666667,3.306666667,4.23,3.8725,3.735,4.183333333,4.2125,3.325,4.026666667,3.676666667,1.62,2.596666667,3.123333333,2.596666667,3.573333333,4.01,2.27,4.533333333,3.246666667,4.663333333,2.79,3.26,0.516666667,6,2.25,0.973333333,1.5,1.116666667,4.026666667,3.036666667,2.813333333,2.066666667,3.053333333,4.02,7.303333333,1,4.536666667,1.08,4.136666667,3.736666667,1.58
303.371,1.896666667,2.64,3.836666667,3.38,3.803333333,3.25,3.26,3.926666667,2.6,2.248,3.12,3.733333333,2.87,3.4175,2.375,3.29,2.3775,4.17,3.56,3.023333333,2.37,1.32,2.7825,2.4825,3.956666667,2.862,2.66,1.8825,3.193333333,3.356666667,3.53,3.63,4.406666667,3.323333333,4.2,3.83,3.6925,4.16,4.19,3.275,4.02,3.666666667,1.65,2.626666667,3.133333333,2.62,3.593333333,4.03,2.276666667,4.54,3.26,4.673333333,2.813333333,3.256666667,0.54,6.013333333,2.256666667,0.993333333,1.556666667,1.17,4.023333333,3.053333333,2.81,2.063333333,3.073333333,4.026666667,7.3,1.023333333,4.553333333,1.053333333,4.16,3.756666667,1.5875
