chromaticMale,chromaticFemale,achromaticMale,achromaticFemale,controlTandem,manipulatedTandem,controlTandem2wheel,manipulatedTandem2wheel,controlWheel,manipulatedWheel
0.447936,0.104796,0.297015,0.269616,10.26,0.24,8.01,9.07,3.46,7.5
0.450281,0.06725,0.425113,0.157858,1.2,3.14,3.32,1.4,7.5,5.15
0.422006,0.192619,0.606229,0.414874,1.38,3.3,16.49,16.55,11.37,10.2
0.435828,0.280744,0.52084,0.70869,8.49,0.27,9.58,4.01,12.45,11.15
0.441655,0.304626,0.581046,0.618883,2.52,1.48,6.33,19.46,5.33,7.55
0.491343,0.34608,0.660268,0.771197,1.54,12.03,3.55,6.52,7.27,5.11
0.484601,0.231804,0.595143,0.380362,7.1,1.14,19.2,20.1,8.04,9.03
0.357997,0.249612,0.437069,0.50799,1.4,7.19,10.07,4.13,7.13,5.2
0.493381,0.252769,0.53877,0.511625,2.35,10.01,4.52,5.31,6.13,4.31
0.488842,0.377174,0.406884,0.81054,0.49,2.26,4.08,9.31,3.5,6.2
0.445256,0.138547,0.459881,0.373728,3.37,0.4,6.01,2.41,7.12,7
0.327996,0.322369,0.332102,0.710102,9.53,2.46,14.2,2.1,4.13,2.48
0.437269,0.255033,0.409376,0.565387,9.5,0.37,4.47,5.14,3.22,5.04
0.350353,0.273583,0.173363,0.637599,13.2,1.26,5.28,5.45,8.11,6.49
0.506197,,0.524366,,,1.32,2.48,,8.22,
0.440966,,0.565913,,,1.2,7.14,,5.17,
0.468994,,0.367589,,,0.24,6.09,,5.32,
0.406532,,0.611547,,,2.25,,,,
0.439032,,0.584623,,,,,,,
0.428294,,0.402993,,,,,,,
